timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:27.515, 112.79 W, 100 %
2026/05/28 02:55:27.618, 113.17 W, 100 %
2026/05/28 02:55:27.722, 113.17 W, 100 %
2026/05/28 02:55:27.825, 112.98 W, 100 %
2026/05/28 02:55:27.928, 113.08 W, 100 %
2026/05/28 02:55:28.037, 111.83 W, 100 %
2026/05/28 02:55:28.151, 110.30 W, 100 %
2026/05/28 02:55:28.255, 112.69 W, 100 %
2026/05/28 02:55:28.359, 112.79 W, 100 %
2026/05/28 02:55:28.465, 113.17 W, 100 %
2026/05/28 02:55:28.572, 113.27 W, 100 %
2026/05/28 02:55:28.675, 112.98 W, 100 %
2026/05/28 02:55:28.778, 112.79 W, 100 %
2026/05/28 02:55:28.886, 113.27 W, 100 %
2026/05/28 02:55:28.993, 113.27 W, 100 %
2026/05/28 02:55:29.096, 112.89 W, 100 %
2026/05/28 02:55:29.200, 113.17 W, 100 %
2026/05/28 02:55:29.307, 113.27 W, 100 %
2026/05/28 02:55:29.414, 113.36 W, 100 %
2026/05/28 02:55:29.517, 113.27 W, 100 %
2026/05/28 02:55:29.621, 113.08 W, 100 %
2026/05/28 02:55:29.728, 113.17 W, 100 %
2026/05/28 02:55:29.834, 113.56 W, 100 %
2026/05/28 02:55:29.938, 113.46 W, 100 %
2026/05/28 02:55:30.041, 113.17 W, 100 %
2026/05/28 02:55:30.149, 112.98 W, 100 %
2026/05/28 02:55:30.256, 113.08 W, 100 %
2026/05/28 02:55:30.361, 112.89 W, 100 %
2026/05/28 02:55:30.464, 113.08 W, 100 %
2026/05/28 02:55:30.570, 113.46 W, 100 %
2026/05/28 02:55:30.678, 113.27 W, 100 %
2026/05/28 02:55:30.781, 113.08 W, 100 %
2026/05/28 02:55:30.884, 113.36 W, 100 %
2026/05/28 02:55:30.992, 113.46 W, 100 %
2026/05/28 02:55:31.099, 113.17 W, 100 %
2026/05/28 02:55:31.202, 113.27 W, 100 %
2026/05/28 02:55:31.305, 112.98 W, 100 %
2026/05/28 02:55:31.412, 113.27 W, 100 %
2026/05/28 02:55:31.520, 113.46 W, 100 %
2026/05/28 02:55:31.623, 112.02 W, 100 %
2026/05/28 02:55:31.756, 110.97 W, 100 %
2026/05/28 02:55:31.863, 110.87 W, 100 %
2026/05/28 02:55:31.967, 111.07 W, 100 %
2026/05/28 02:55:32.070, 111.07 W, 100 %
2026/05/28 02:55:32.178, 111.16 W, 100 %
2026/05/28 02:55:32.281, 111.07 W, 100 %
2026/05/28 02:55:32.385, 111.16 W, 100 %
2026/05/28 02:55:32.488, 110.97 W, 100 %
2026/05/28 02:55:32.591, 111.26 W, 100 %
2026/05/28 02:55:32.698, 111.26 W, 100 %
2026/05/28 02:55:32.802, 110.87 W, 100 %
2026/05/28 02:55:32.906, 111.07 W, 100 %
2026/05/28 02:55:33.009, 111.26 W, 100 %
2026/05/28 02:55:33.112, 111.16 W, 100 %
2026/05/28 02:55:33.220, 110.97 W, 100 %
2026/05/28 02:55:33.327, 111.16 W, 100 %
2026/05/28 02:55:33.430, 111.16 W, 100 %
2026/05/28 02:55:33.533, 111.07 W, 100 %
2026/05/28 02:55:33.641, 111.16 W, 100 %
2026/05/28 02:55:33.748, 111.26 W, 100 %
2026/05/28 02:55:33.851, 111.16 W, 100 %
2026/05/28 02:55:33.955, 111.16 W, 100 %
2026/05/28 02:55:34.062, 111.26 W, 100 %
2026/05/28 02:55:34.170, 111.10 W, 100 %
2026/05/28 02:55:34.273, 110.97 W, 100 %
2026/05/28 02:55:34.377, 111.16 W, 100 %
2026/05/28 02:55:34.484, 111.35 W, 100 %
2026/05/28 02:55:34.591, 111.35 W, 100 %
2026/05/28 02:55:34.694, 111.16 W, 100 %
2026/05/28 02:55:34.798, 111.45 W, 100 %
2026/05/28 02:55:34.905, 111.26 W, 100 %
2026/05/28 02:55:35.009, 111.26 W, 100 %
2026/05/28 02:55:35.112, 111.26 W, 100 %
2026/05/28 02:55:35.216, 111.35 W, 100 %
2026/05/28 02:55:35.319, 111.07 W, 100 %
2026/05/28 02:55:35.426, 111.07 W, 100 %
2026/05/28 02:55:35.529, 111.07 W, 100 %
2026/05/28 02:55:35.633, 111.07 W, 100 %
2026/05/28 02:55:35.736, 111.07 W, 100 %
2026/05/28 02:55:35.839, 111.16 W, 100 %
2026/05/28 02:55:35.948, 111.26 W, 100 %
2026/05/28 02:55:36.051, 111.26 W, 100 %
2026/05/28 02:55:36.155, 111.35 W, 100 %
2026/05/28 02:55:36.258, 111.26 W, 100 %
2026/05/28 02:55:36.361, 111.45 W, 100 %
2026/05/28 02:55:36.469, 111.21 W, 100 %
2026/05/28 02:55:36.572, 111.35 W, 100 %
2026/05/28 02:55:36.677, 111.16 W, 100 %
2026/05/28 02:55:36.781, 111.18 W, 100 %
2026/05/28 02:55:36.884, 111.08 W, 100 %
2026/05/28 02:55:36.991, 111.26 W, 100 %
2026/05/28 02:55:37.098, 111.35 W, 100 %
2026/05/28 02:55:37.201, 111.26 W, 100 %
2026/05/28 02:55:37.304, 111.26 W, 100 %
2026/05/28 02:55:37.412, 111.35 W, 100 %
2026/05/28 02:55:37.519, 111.26 W, 100 %
2026/05/28 02:55:37.622, 111.26 W, 100 %
2026/05/28 02:55:37.725, 38.26 W, 80 %
2026/05/28 02:55:37.833, 37.58 W, 80 %
2026/05/28 02:55:37.941, 37.49 W, 0 %
2026/05/28 02:55:38.044, 37.39 W, 0 %
2026/05/28 02:55:38.147, 37.49 W, 0 %
2026/05/28 02:55:38.254, 108.59 W, 20 %
2026/05/28 02:55:38.362, 110.80 W, 20 %
2026/05/28 02:55:38.465, 108.96 W, 100 %
2026/05/28 02:55:38.568, 109.93 W, 100 %
2026/05/28 02:55:38.676, 109.38 W, 100 %
2026/05/28 02:55:38.784, 107.33 W, 100 %
2026/05/28 02:55:38.887, 107.00 W, 100 %
2026/05/28 02:55:38.991, 104.65 W, 100 %
2026/05/28 02:55:39.099, 105.53 W, 100 %
2026/05/28 02:55:39.206, 101.98 W, 100 %
2026/05/28 02:55:39.309, 104.18 W, 100 %
2026/05/28 02:55:39.412, 103.63 W, 100 %
2026/05/28 02:55:39.519, 103.21 W, 100 %
2026/05/28 02:55:39.627, 104.86 W, 100 %
2026/05/28 02:55:39.730, 105.03 W, 100 %
2026/05/28 02:55:39.833, 104.31 W, 100 %
2026/05/28 02:55:39.940, 103.05 W, 100 %
